productId,name,price,description,stockQuantity,categoryId,categoryName,storeId,imageUrls,averageRating,totalReviews
21,Butterfly Candle,50,A charming candle featuring a detailed butterfly design.,0,9,Candels,0,['https://shopyapi.runasp.net/images/b61958ec-4c70-4348-b588-5124e47e7856.jpg'],0.0,0
22,Matcha Candle,200,"Inspired by the calming scent of matcha, this candle offers a soothing green tea aroma with a clean, minimalist look.",0,9,Candels,0,['https://shopyapi.runasp.net/images/4855f467-48c2-4d34-b36c-5b15e8ec9917.jpg'],5.0,1
23,Flower Candle Bouquet,500,A handcrafted bouquet made entirely of scented candles shaped like delicate flowers.,0,9,Candels,0,['https://shopyapi.runasp.net/images/2fd82788-eb49-48ce-8e95-92077ba0dc11.jpg'],4.0,1
24,Dried Rose Candle,250,"Infused with real dried rose petals, this candle brings the timeless romance of roses into your home with a soft floral fragrance.",0,9,Candels,0,['https://shopyapi.runasp.net/images/9df88107-8776-4c93-ae6a-50b83e6a48d1.jpg'],0.0,0
25,Ocean Breeze Candle,200,A refreshing candle with sea-inspired tones and a tranquil scent that captures the essence of the ocean.,0,9,Candels,0,['https://shopyapi.runasp.net/images/db57b4d8-e617-4371-8b35-85bad9a1e84e.jpg'],0.0,0
26,Rose Petal Candles,500,A set of elegant rose-scented candles designed to create a romantic and calming atmosphere.,0,9,Candels,0,['https://shopyapi.runasp.net/images/4d55d52d-2c35-4885-9e41-ac67afd845c1.jpg'],0.0,0
27,Amal Candle ,200,"Named ""Amal"" meaning ""Hope"" in Arabic, this candle symbolizes light and new beginnings. A perfect piece for meaningful moments or thoughtful gifting.",0,9,Candels,0,['https://shopyapi.runasp.net/images/46f0616c-2cb0-4e55-95e8-8c9b3c02a576.jpg'],0.0,0
28,Menna Candle ,200,"Soft, elegant, and full of warmth — the Menna Candle is inspired by gentle souls and peaceful moments. A scent that soothes the heart and lights up the room with calm energy.",0,9,Candels,0,['https://shopyapi.runasp.net/images/43bf6604-61ac-4ac5-a31c-9abcddbd23dc.jpg'],0.0,0
29,Asala Candle ,200,"Bold, graceful, and rich in depth — the Asala Candle is a tribute to timeless beauty and inner strength. A perfect blend of warmth and character.",0,9,Candels,0,['https://shopyapi.runasp.net/images/a56393dc-a5d2-4d93-85db-f05f929f8469.jpg'],0.0,0
30,Hayat Candle,200,"A candle that embodies new beginnings, gentle energy, and the beauty of life. The Hayat Candle brings light, hope, and serenity to any space.",0,9,Candels,0,['https://shopyapi.runasp.net/images/0a0b5ca6-7342-42a8-a8d3-c3f9c26c65f1.jpg'],0.0,0
31,Necklace,150,A timeless necklace crafted with elegance and care. Perfect for adding a subtle sparkle to your everyday look or for special occasions.,0,12,Accessories,0,['https://shopyapi.runasp.net/images/0ee80fcc-e4bb-4ef9-a881-7dab75ba3e3a.jpg'],0.0,0
32,Necklace,200,A timeless necklace crafted with elegance and care. Perfect for adding a subtle sparkle to your everyday look or for special occasions.,0,12,Accessories,0,['https://shopyapi.runasp.net/images/5c241c67-5b11-4e3e-9b67-18a1ac6e9d50.jpg'],0.0,0
33,Necklace,250,A timeless necklace crafted with elegance and care. Perfect for adding a subtle sparkle to your everyday look or for special occasions.,0,12,Accessories,0,['https://shopyapi.runasp.net/images/e677c8c6-5cbf-43e5-a54c-cd15c2d020b4.jpg'],5.0,1
34,Bracelet,170,"A delicate bracelet designed to complement your wrist with style. Whether worn solo or layered, it’s the perfect finishing touch.",0,12,Accessories,0,['https://shopyapi.runasp.net/images/ac9c1497-eafe-4b8c-8369-406ba9c39fa4.jpg'],0.0,0
35,Bracelet,150,"A delicate bracelet designed to complement your wrist with style. Whether worn solo or layered, it’s the perfect finishing touch.",0,12,Accessories,0,['https://shopyapi.runasp.net/images/edafa6dc-0fbc-4861-9ede-1c11da30c3c0.jpg'],0.0,0
36,Bracelet,60,"A delicate bracelet designed to complement your wrist with style. Whether worn solo or layered, it’s the perfect finishing touch.",0,12,Accessories,0,['https://shopyapi.runasp.net/images/ca077bb4-ac21-4893-9754-af8f54701dd5.jpg'],0.0,0
37,Necklace,200,A timeless necklace crafted with elegance and care. Perfect for adding a subtle sparkle to your everyday look or for special occasions.,0,12,Accessories,0,['https://shopyapi.runasp.net/images/3af1f55c-aebe-4a04-b94b-17d77b38bb5e.jpg'],0.0,0
38,Necklace,200,A timeless necklace crafted with elegance and care. Perfect for adding a subtle sparkle to your everyday look or for special occasions.,0,12,Accessories,0,['https://shopyapi.runasp.net/images/5a65b20d-e884-460b-9bd6-5d958738820b.jpg'],0.0,0
39,Necklace,230,A timeless necklace crafted with elegance and care. Perfect for adding a subtle sparkle to your everyday look or for special occasions.,0,12,Accessories,0,['https://shopyapi.runasp.net/images/835c3930-e647-4230-aaa3-4c03b57c6368.jpg'],0.0,0
40,Ring,100,A beautifully designed ring that blends simplicity and charm. Ideal for daily wear or as a meaningful gift for someone special.,0,12,Accessories,0,['https://shopyapi.runasp.net/images/0ee26f87-4b6c-4f8c-98d4-bb9c50cdd1f3.jpg'],0.0,0
42, Sunflower Cake,500,"A cheerful and vibrant cake inspired by the beauty of sunflowers. Perfect for joyful occasions, it’s a burst of sunshine in every slice.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/8c1a5e9a-9450-4703-8148-c9c4a84fcf41.jpg'],1.0,1
43,Red Velvet Cake,400,"A classic favorite with a velvety texture and rich cocoa flavor, topped with smooth cream cheese frosting. Elegant, indulgent, and unforgettable.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/ca20d499-6534-47e2-a315-2419c1ea9774.jpg'],0.0,0
44,Blue Cake ,450,"A dreamy blue cake that stands out with its soft tones and sweet flavor. Perfect for gender reveals, birthdays, or any special moment.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/ed3e093b-6101-431b-813c-8f8b853506ca.jpg'],0.0,0
45,Flory Cake,500,"A floral-inspired cake decorated with delicate edible flowers and a light, fragrant flavor. A beautiful centerpiece for elegant gatherings.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/54b68a3f-bdf9-4eb4-8939-7c97fecd550b.jpg'],5.0,1
46,Mint Green Cake,400,"A refreshing mint-green cake with a cool, clean vibe and a subtly sweet taste. Light, modern, and perfect for spring or minimalist celebrations.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/a8bd1cac-ba61-45c0-be01-632748c8c666.jpg'],0.0,0
47,Daisy Flower Cake,500,"A fresh and delicate cake inspired by the beauty of daisy flowers. Light, floral, and ideal for spring or garden-themed events.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/872f6f1c-973b-47db-acbf-509b4e064501.jpg'],0.0,0
48,Birthday Cake ,600,A festive and colorful birthday cake made to celebrate your special day in the sweetest way. Customizable and joy-filled.,0,11,CaKes,0,['https://shopyapi.runasp.net/images/24364249-7138-44e1-be98-2176b56c241e.jpg'],0.0,0
49,Red Cake,500,"Bold and beautiful, this vibrant red cake is perfect for making a statement. Its rich color and sweet flavor make it a standout for any celebration.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/255a9fd1-d526-4df4-881b-ba969f1a3896.jpg'],0.0,0
50,Butterfly Cake,700,"A whimsical cake adorned with colorful butterflies, perfect for dreamy birthdays and joyful occasions. Sweet, magical, and full of charm.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/57e09669-6ead-42e2-be35-fb820eab8617.jpg'],4.0,1
51,Butterfly Cake,500,"A whimsical cake adorned with colorful butterflies, perfect for dreamy birthdays and joyful occasions. Sweet, magical, and full of charm.",0,11,CaKes,0,['https://shopyapi.runasp.net/images/7c22c366-33f9-4b38-b6cc-d80f9b9c1add.jpg'],0.0,0
52,Caption Mug,350,A stylish ceramic mug printed with a fun or inspiring caption. Perfect for coffee lovers who enjoy a little personality with every sip.,0,10,Mugs,0,['https://shopyapi.runasp.net/images/f993c66d-93a5-4fbf-a15d-cbc830de7f61.jpg'],0.0,0
53,Caption Mug,300,A stylish ceramic mug printed with a fun or inspiring caption. Perfect for coffee lovers who enjoy a little personality with every sip.,0,10,Mugs,0,['https://shopyapi.runasp.net/images/c42f6e3f-9c6b-4bd4-9839-ef66fdc3eeba.jpg'],0.0,0
54,Caption Mug,320,A stylish ceramic mug printed with a fun or inspiring caption. Perfect for coffee lovers who enjoy a little personality with every sip.,0,10,Mugs,0,['https://shopyapi.runasp.net/images/8bece735-ba78-4bd2-8c8b-b0f0d959cf23.jpg'],0.0,0
56,Caption Mug,370,A stylish ceramic mug printed with a fun or inspiring caption. Perfect for coffee lovers who enjoy a little personality with every sip.,0,10,Mugs,0,['https://shopyapi.runasp.net/images/4c958347-d24b-460e-b08d-2b22490b25f4.jpg'],0.0,0
57,Caption Mug,300,A stylish ceramic mug printed with a fun or inspiring caption. Perfect for coffee lovers who enjoy a little personality with every sip.,0,10,Mugs,0,['https://shopyapi.runasp.net/images/2a895cfe-c651-4aee-8ae2-4ff312bb50b4.jpg'],0.0,0
58,Personalized Name Mug,350,A custom-made mug featuring your name or a loved one’s. A thoughtful and unique gift that adds a personal touch to every coffee break.,0,10,Mugs,0,['https://shopyapi.runasp.net/images/751f8d92-41c7-4d28-b850-819c6c71fd26.jpg'],0.0,0
59,Butterfly Mug,380,"A beautifully designed mug with delicate butterfly artwork. Ideal for nature lovers and those who enjoy a soft, elegant vibe.",0,10,Mugs,0,['https://shopyapi.runasp.net/images/cd08f773-5e3c-4df2-958a-d7a2e28239bb.jpg'],0.0,0
60,Teddy Bear Mug,350,"A cozy, heartwarming mug featuring a handmade teddy bear design. Perfect for adding a touch of childhood charm and cuteness to your daily drink.",0,10,Mugs,0,['https://shopyapi.runasp.net/images/1c430184-312b-451d-a335-1fedc55fd7c7.jpg'],0.0,0
61,Bow Mug ,300,"Elegant and playful, this mug is adorned with a handcrafted bow made from polymer clay. A sweet and stylish addition to your mug collection.",0,10,Mugs,0,['https://shopyapi.runasp.net/images/5463bcaa-8118-4b88-8a19-d6136018f135.jpg'],0.0,0
62,Floral Mug,450,"A beautifully detailed mug decorated with delicate clay flowers. Ideal for nature lovers and anyone who enjoys a soft, romantic aesthetic.",0,10,Mugs,0,['https://shopyapi.runasp.net/images/b40e2768-6279-4532-8641-e78eb1fd96da.jpg'],0.0,0
63,Creamy Shower Gel ,200,"A rich, creamy shower gel that gently cleanses and deeply moisturizes your skin, leaving it soft, smooth, and beautifully scented.",0,13,Skin & HairCare,0,['https://shopyapi.runasp.net/images/751438e3-c424-4275-9d75-621a34af8bf8.jpg'],0.0,0
65,Body Mist,150,"A soft, refreshing body mist that gives you a light, long-lasting fragrance—perfect for a quick pick-me-up anytime.",0,13,Skin & HairCare,0,['https://shopyapi.runasp.net/images/4b83739f-bb33-4efe-afa6-d1c15acef394.jpg'],0.0,0
66,Hair Mist ,200,A lightweight hair mist that adds a refreshing scent without weighing your hair down. Keeps your hair smelling fresh all day long.,0,13,Skin & HairCare,0,['https://shopyapi.runasp.net/images/2a0de40d-b12a-4414-a04a-03e30c42b112.jpg'],1.5,2
67,White Musk,100,"A classic white musk fragrance that’s soft, clean, and comforting. Perfect for layering or wearing alone for a subtle scent.",0,13,Skin & HairCare,0,['https://shopyapi.runasp.net/images/44022266-5e89-4a90-810f-9d05b2962d46.jpg'],0.0,0
